Score,Rating,Title,Price,Median_Comp,Discount_%,Seller_Feedback,Sales_Count,Age_Days,Red_Flags,URL
0,ERROR,"1994-95 Topps Finest #331 Michael Jordan SGC 96 MINT Chicago Bulls HOF",204.45,N/A,N/A,N/A,N/A,,None,https://www.ebay.com/itm/187870916301?_skw=michael+jordan+topps+finest&hash=item2bbdfaaecd:g:JVsAAeSwwTBpSgrq&amdata=enc%3AAQALAAABADZq0hFgvSYlgrFkWCFZ3z3xIx5jN9gsSqt5xBUpp1%2BeR%2FHG%2BlChA97qZc%2BNDCHqBNjuxC3qwhdiHbJiORbK3nX8qE1D7fl0vsE7lGPl2aFO5j4mh3o0gMkkUVRM2IIO7ukwche9IM7VWikFVM4gNJ1rgZeJTFiBryF7NIhs8%2BS6VK1vnTYhmxqVvB%2BAJvK2vO0%2BHV0%2Bf75XqfJQ3OOs8stG5nxcYX5ylSpl%2F9lfRhkTAfoBU%2F8DU3VpJxmCWtCFzLTPtb4sp%2F9QVqT%2B8gf0z%2B1zE0NwMOD45m62qB%2F%2B4t%2BYP6HibU7CqYHYDKNngu1%2FCWDDA9tY5K8BL9k%2FmnoZ4Bg%3D
0,ERROR,"1995 TOPPS FINEST MICHAEL JORDAN MYSTERY #M1 BULLS",51.98,N/A,N/A,N/A,N/A,,None,https://www.ebay.com/itm/198070249247?_skw=michael+jordan+topps+finest&hash=item2e1de8271f:g:If0AAeSwiLdpftJ1&amdata=enc%3AAQALAAABADZq0hFgvSYlgrFkWCFZ3z1xN8wI8cOVyo4UvqdmlDUqe4fLsID0JXZwh3r2ifKfSS9YC3lBeKTA2id%2FZ7036iOi2HJlZluQbbjkr4Asq4isO1FKZBGCeEiFzu3HYyyz%2FZcuwAMJKFUvCXTDieI8t5kE7kikDQLHx%2F1Y8JIh5DzYzJyV8y4cbt0uthraYrc5hlcg%2FgoA%2BHbmad%2BPEgyqW89zpYDNrZENHEQqS2%2FctGadvkGzSsKUDzyEvZ0YvMZtrrc1tIfPJbUs2%2BX6UWb%2FGlqXplxFiWQHLNtYrLZEfw2mFo7c62DSZPVNTMPqqhW38J2s%2Bm0WwUf5kwukACl4FLI%3D
0,ERROR,"MICHAEL JORDAN Every Card Ever YOU PICK Raw Graded Rookie Auto Inserts 1996-2024",254.9,N/A,N/A,N/A,N/A,,None,https://www.ebay.com/itm/135043391234?_skw=michael+jordan+topps+finest&hash=item1f71369f02:g:iG0AAOSw7xNmcwVU
0,ERROR,"Michael Jordan 1995-96 Topps Finest #M1 Bordered Chicago Bulls",52.5,N/A,N/A,N/A,N/A,,None,https://www.ebay.com/itm/127558492657?_skw=michael+jordan+topps+finest&hash=item1db31421f1:g:W~8AAeSwJshpPiFs
0,ERROR,"1995-96 Michael Jordan Topps Finest #M1 Unpeeled Chicago Bulls",124.95,N/A,N/A,N/A,N/A,,None,https://www.ebay.com/itm/175544454434?_skw=michael+jordan+topps+finest&hash=item28df43cd22:g:-KEAAOSwAlFjpGeF
0,ERROR,"1995-96 Topps Finest Mystery Borderless/Silver Michael Jordan #M1 PSA 4 HOF 3hd",97.19,N/A,N/A,N/A,N/A,,None,https://www.ebay.com/itm/236614049645?_skw=michael+jordan+topps+finest&hash=item37174bdf6d:g:35MAAeSwashpgMt5
0,ERROR,"1993 Finest Michael Jordan #1 PSA 8 NM-MT HOF GOAT Bulls!",129.94,N/A,N/A,N/A,N/A,,None,https://www.ebay.com/itm/206044553137?_skw=michael+jordan+topps+finest&hash=item2ff9365fb1:g:bTQAAeSwaytpgOtT
0,ERROR,"1995 Topps Finest Michael Jordan card # 229 - PSA 8",99.99,N/A,N/A,N/A,N/A,,None,https://www.ebay.com/itm/267556122325?_skw=michael+jordan+topps+finest&hash=item3e4b966ed5:g:Z94AAeSwemNpdSkx
0,ERROR,"Michael Jordan 1997-98 Topps Finest Finishers  With Coating, Card #39 - MINT",45,N/A,N/A,N/A,N/A,,None,https://www.ebay.com/itm/306727474214?_skw=michael+jordan+topps+finest&hash=item476a61d426:g:ewAAAeSw63Jpc8j-&amdata=enc%3AAQALAAAA8DZq0hFgvSYlgrFkWCFZ3z1HfIerKFiAX%2Bv5i6R%2BtdCRZ4RlhspjQ3NN5AbHvE896hCG11oS1s9cZlYmzoFI4lXv%2FGNpPBee50O8AK%2Bz7OFklu6Tx6joc8D%2BmtENX1ixPOLya%2F8w7MOAbkZOjnF%2BFsybXyIJgsNXjAQVCdyl%2FBLF0h53lBQpklWiUr0T8Bj5hFzyHmMZfr6BDOfednPVO%2B3dz774DhU1LGWVFMljZPyXrsT89KL8bz30wRnz%2FekniNbvKkYrHEP63t5J7I%2FRYg%2BBobW0maCC%2B9SK4Pfhc8QOL3R86lVXfH1xMvH8AteNfg%3D%3D
0,ERROR,"Michael Jordan 1996-97 Topps Finest Sterling Card #50 W/ Coating - No Greening",49.99,N/A,N/A,N/A,N/A,,None,https://www.ebay.com/itm/168062892600?_skw=michael+jordan+topps+finest&hash=item2721543a38:g:a-QAAeSwscNpXW3a&amdata=enc%3AAQALAAABADZq0hFgvSYlgrFkWCFZ3z0tebB0L68tMGxGO4ughLJkWiW0x6TmP3mAI%2BBMM8Wpx7wgXY1QyhVo9c6JTmT8hxjQqQR4%2FV3HWzXQs2sJfP9dIWhl2Ma%2FtMiLIjSZoQ5qriy1t5bUgaohurvl0s5Bjk6BnzQHmJc%2FQziwIlAIY1oYWvzPZTijqWVV5g2teU9M9RtWOCLxVH0oUxlitDo7ghzWlRDFnoj5nXlmZ6FtkET3ZAaGygzsGm%2FPAd3lhMNjAoCC50%2FZxgBCZ7vvKOcYqv4%2F4r%2FAibYpn7At6SCw9vOAVeUH4macsZtx%2BnbP%2FgCSzpptrVAW9abgc4OAIvG1gsE%3D
